name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
2MASS J09522188-1924319,J095221.89-192432.04,148.09079156486487,0.03533288288288288,-19.409443340990993,0.0371990990990991,10.679,0.018,10.679,0.018,10.625,0.017,10.731,0.021,61.425,40.1,76.4,225,0.106,-0.0,0.491,0.0,14.047401645468307,0.13433971087953686,0.02648850997192474,10.48,0.02,10.479,0.02,10.404,0.022,10.549,0.023,54.879,39.9,66.3,219,0.145,0.001,0.483,0.0,4.253616920495515,0.141406105747936,40.67625222887643,10.137,0.166,6.667,7.911,,,0.199,4573.366625600007,AA,http://byw.tools/wiseview#ra=148.0912&dec=-19.4089&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSSp J092615.38+584720.9,J092615.53+584718.86,141.56418293254902,0.2868603921568627,58.78811618039216,0.3188094117647059,15.179,0.12,15.18,0.115,14.847,0.117,15.526,0.219,9.319,5.0,12.8,126,0.679,-0.001,0.51,0.008000000000000007,8.50058644510605,0.17737001334628524,0.21559999543050426,13.755,0.129,13.76,0.126,13.43,0.144,14.068,0.209,8.795,5.0,13.2,129,0.638,-0.005,0.483,0.0030000000000000027,9.599420545566169,0.20450014354633744,0.028998586920932226,11.27,0.46,1.238,7.699,,1.25,1.424,4576.3829963399985,AA,http://byw.tools/wiseview#ra=141.5646933&dec=58.78857312&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0920122+351742,J092012.00+351739.78,140.0498107767742,0.0993341935483871,35.294237527741934,0.11000387096774196,13.292,0.039,13.292,0.038,13.174,0.035,13.403,0.045,28.205,21.6,34.2,78,0.229,-0.0,0.485,0.0020000000000000018,9.715103178074825,0.2807881911502023,0.08740368983000216,12.863,0.067,12.863,0.064,12.688,0.055,13.028,0.101,16.451,10.4,20.3,77,0.34,-0.0,0.485,0.019000000000000017,8.071948314780306,0.24280062132138175,0.1691219456660973,11.226,0.457,0.72,7.802,,0.3,0.429,4573.497127870003,AA,http://byw.tools/wiseview#ra=140.0499909&dec=35.29438259&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J09153413+0422045,J091534.02+042205.32,138.89174180561795,0.05281292134831461,4.368045816292135,0.05634101123595506,12.076,0.024,12.074,0.023,11.998,0.021,12.143,0.024,46.502,30.2,54.3,89,0.145,0.002,0.476,0.0,10.519127378293286,0.3005546283607523,0.032691349958334455,11.71,0.034,11.713,0.033,11.608,0.031,11.826,0.045,32.602,21.5,37.5,89,0.218,-0.003,0.518,0.0020000000000000018,9.929954132780653,0.2573471866843914,0.0665701601482953,10.7,0.29,3.85,7.502,,1.4,0.366,4573.121473589999,AA,http://byw.tools/wiseview#ra=138.8917568&dec=4.368145811&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
Gl 337CD,J091213.99+145945.04,138.058313746281,0.15011570247933886,14.99564833801653,0.16369090909090908,13.831,0.061,13.597,nan,12.632,0.046,16.228,nan,17.892,-20.8,39.1,62,3.596,0.234,0.732,1.0,nan,nan,4573.571870599997,12.731,0.072,12.67,0.069,12.194,0.04,13.54,0.139,16.342,7.2,27.0,59,1.346,0.061,0.646,0.0040000000000000036,8.013458106483073,0.32248288822198146,0.16109552879667202,10.798,0.277,2.45,7.653,0.46,1.433,1.1,4573.571870599997,BB,http://byw.tools/wiseview#ra=138.0582736&dec=14.99584523&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J09033514-0637336,J090335.09-063733.37,135.89611672136752,0.060486752136752135,-6.6259905606837615,0.0651025641025641,12.367,0.025,12.367,0.025,12.307,0.025,12.441,0.027,43.32,33.9,49.9,119,0.134,0.0,0.552,0.0010000000000000009,11.04248172674625,0.20146177244192193,0.025077245963513753,12.167,0.042,12.161,0.041,12.053,0.038,12.283,0.073,26.063,14.9,31.2,115,0.23,0.006,0.53,0.0040000000000000036,10.688244029987674,0.21895644897474104,0.08379115266179807,11.216,,0.825,7.762,,0.6,0.2,4578.013416829999,AA,http://byw.tools/wiseview#ra=135.8962122&dec=-6.625936355&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J0856479+223518,J085647.71+223517.88,134.1986398965686,0.10317156862745097,22.5883069877451,0.11508382352941177,13.346,0.039,13.343,0.039,13.264,0.041,13.452,0.04,27.868,16.3,33.6,102,0.188,0.003,0.58,0.009000000000000008,10.295576731268312,0.20822888255192737,0.02286401864595511,13.048,0.081,13.043,0.077,12.857,0.096,13.259,0.168,13.752,6.4,18.1,102,0.402,0.005,0.537,0.0050000000000000044,10.081725197718972,0.21022978317295174,0.09500593871384715,11.056,0.244,1.36,7.542,0.38,1.1,0.299,4574.171759640005,AA,http://byw.tools/wiseview#ra=134.1988&dec=22.5883&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0850359+105716,J085035.78+105715.89,132.6489303377451,0.11047892156862746,10.954257964215685,0.12212107843137256,13.519,0.042,13.523,0.041,13.419,0.038,13.644,0.042,26.045,18.2,30.4,102,0.225,-0.004,0.538,0.0030000000000000027,9.427834194231018,0.21755730970576415,0.056196839781700786,13.002,0.076,13.003,0.074,12.807,0.087,13.203,0.14,14.66,7.7,18.3,102,0.396,-0.002,0.504,0.007000000000000006,9.066198641650951,0.1999470346654007,0.0495771247656822,10.844,0.286,2.66,7.542,,0.82,0.517,4574.021887440002,AA,http://byw.tools/wiseview#ra=132.6490687&dec=10.95441477&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J08381155+1511155,J083811.46+151116.47,129.54754662441863,0.5438366279069767,15.187546032558139,0.6161837209302325,15.737,0.203,15.717,0.192,15.132,0.119,16.44,0.353,5.623,3.1,9.1,95,1.308,0.02,0.553,0.0020000000000000018,6.854074507149371,0.27396118511870465,2.286025447316342,14.479,0.247,14.479,0.236,13.938,0.238,15.014,0.34,4.606,3.1,7.2,77,1.076,0.0,0.497,0.007000000000000006,7.858850876744019,0.27955584936869193,0.18792591574853404,11.099,0.416,1.471,7.549,,0.833,1.258,4574.336920080001,AA,http://byw.tools/wiseview#ra=129.5477311&dec=15.18790814&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J0823031-491201,J082302.90-491200.71,125.7619209562963,0.04428333333333333,-49.20028986444445,0.04814370370370371,11.465,0.02,11.466,0.02,11.412,0.024,11.521,0.019,53.855,33.7,66.1,270,0.109,-0.001,0.505,0.013000000000000012,10.500367751746088,0.08204553647704912,0.08680123290617284,11.149,0.025,11.15,0.025,11.069,0.026,11.235,0.028,43.291,29.5,52.4,270,0.166,-0.001,0.512,0.015000000000000013,9.396628364544418,0.07586601560695884,0.032620180723016375,10.784,0.289,3.63,7.778,0.46,0.959,0.316,4576.40693564,AA,http://byw.tools/wiseview#ra=125.7620869&dec=-49.2001971&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
